TypeOfFood;Energy;Protein;Fat;Water;VitaminA;VitaminB1;VitaminB2;VitaminC
All-Bran;250;13;2.5;5;0;1;1.5;0
Almonds;560;17;54;5;0;0.2;1;0
Apples;35;0.2;0;65;0;0.03;0;2
Apricots;30;0.6;0;87;250;0.04;0.05;10
Apricots_dried_raw;180;4;0;15;580;0;0.2;0
Artichokes_globe_boiled;15;1;0;84;0;0.03;0;10
Artichokes_Jerusalem;20;1.5;0;80;0;0.1;0;2
Asparagus_boiled;10;1.7;0;46;50;0.05;0.04;10
Aubergine_raw;15;0.7;0;93;0;0.05;0.03;5
Avocados;220;4;20;70;15;0.1;0.1;15
Bacon rashers_streaky_fried;500;23;45;27;0;0.4;0.2;0
Bacon rashers_streaky_grilled;400;25;36;34;0;0.4;0.16;0
Bacon rashers_streaky_raw;400;15;40;41;0;0.4;0.15;0
Bacon_collar joint;320;15;29;51;0;0.4;0.2;0
Bacon_collar joint_boiled;330;20;27;49;0;0.3;0.2;0
Bacon_gammon joint raw;240;18;18;60;0;0.6;0.2;0
Bacon_gammon joint_boiled;270;25;19;53;0;0.4;0.15;0
Bacon_gammon rashers;230;30;12;52;0;0.9;0.25;0
Bananas;80;1;0.3;70;200;0.04;0.07;10
Barcelona nuts;640;11;64;5;0;0.1;0.1;0
Barley_pearl_boiled;120;2.7;0.5;70;0;0;0;0
Barley_pearl_raw;360;8;1.7;10.5;0;0.1;0.05;0
Bean sprouts_canned;10;1.6;0;95;0;0;0.03;0
Beans_baked_canned;65;5;0.5;74;0;0.07;0.05;0
Beans_broad_boiled;50;4;0.6;84;40;0.1;0.04;15
Beans_butter_boiled;100;7;0.3;71;0;0.1;0;0
Beans_butter_raw;270;19;1;12;0;0.5;0.1;0
Beans_French_boiled;7;0.8;0;96;80;0.04;0.07;5
Beans_haricot_boiled;90;6.6;0.5;70;0;0.2;0.05;0
Beans_haricot_raw;270;21;1.5;11;0;0.45;0.13;0
Beans_mung_cooked;100;6;4;73;0;0.1;0.04;0
Beans_mung_green_raw;230;22;1;12;0;0.45;0.2;0
Beans_runner_boiled;20;2;0.2;91;60;0.03;0.07;5
Beans_runner_raw;25;2.3;0.2;89;70;0.05;0.1;20
Beans_red kidney_raw;270;22;1.7;11;0;0.5;0.2;0
Beef steak_stewing_raw;180;20;10;69;0;0.06;0.23;0
Beef steak_stewing_stewed;220;30;11;57;0;0.03;0.33;0
Beef_brisket_raw;250;17;20;62;0;0.05;0.15;0
Beef_corned (canned);220;27;12;59;0;0;0.2;0
Beef_minced_raw;220;19;16;64;0;0.06;0.3;0
Beef_minced_stewed;230;23;15;59;0;0.05;0.33;0
Beef_rump steak_fried;250;29;15;56;0;0.08;0.35;0
Beef_rump steak_grilled;220;27;12;59;0;0.08;0.3;0
Beef_rump steak_raw;200;19;14;67;0;0.08;0.26;0
Beef_silverside_salted;240;29;14;54;0;0.03;0.3;0
Beef_sirloin_raw;270;17;23;59;0;0.04;0.2;0
Beef_sirloin_roast;280;24;21;54;0;0.06;0.25;0
Beef_topside_raw;180;20;11;68;0;0.05;0.21;0
Beef_topside_roast;200;27;12;60;0;0.07;0.31;0
Beef_brisket_boiled;320;27;24;48;0;0.04;0.3;0
Beer_bitter;30;0;0;100;0;0;0;0
Beer_lager;30;0;0;100;0;0;0;0
Beer_stout;40;0;0;87;0;0;0;0
Beetroot_boiled;45;1.8;0;83;0;0;0.04;5
Beetroot_raw;30;1.3;0;87;0;0.03;0.05;5
Bemax;350;26.5;8;6;0;1.5;0.6;0
Bilberries;60;0.5;0;85;15;0;0;20
Biscuits_chocolate coated;520;6;27;2;0;0.03;0.15;0
Biscuits_cream crackers;440;9.5;16;4;0;0.15;0.1;0
Biscuits_digestive_plain;470;10;20;4.5;0;0.15;0.1;0
Biscuits_semi-sweet;460;7;17;2.5;0;0.15;0.1;0
Biscuits_shortbread;500;6;26;5;250;0.15;0;0
Biscuits_wafers_filled;540;5;30;2;0;0.1;0.1;0
Biscuits_water;440;11;12.5;4.5;0;0.1;0.03;0
Black pudding_fried;300;13;22;44;0;0.1;0.1;0
Blackberries;30;1.5;0;80;15;0.03;0.04;20
Blackcurrants;30;1;0;77;30;0.03;0.06;200
Bloater_grilled;250;24;17;56;50;0;0.2;0
Bounty bar;470;5;26;8;0;0.04;0.1;0
Brain_boiled;130;12;9;77;0;0.1;0.2;20
Bran_wheat;200;14;5.5;8;0;1;0.4;0
Brazil nuts;600;12;60;5;0;1;0.12;0
Bread rolls_starch reduced;380;44;4;8;0;0;0;0
Bread rolls_white;300;10;7;29;0;0.25;0.1;0
Bread_brown;220;9;2.2;39;0;0.25;0.05;0
Bread_malt;250;8;3;39;0;0;0;0
Bread_white;230;7.8;1.7;39;0;0.2;0.03;0
Bread_white toasted;300;9.6;1.7;24;0;0.2;0.04;0
Bread_wholemeal;220;8.8;2.7;40;0;0.3;0.08;0
Breadcrumbs,white;350;12;2;10;0;0.2;0.04;0
Broccoli tops_boiled;20;3;0;90;500;0.06;0.2;35
Broccoli tops_raw;25;3.3;0;89;500;0.1;0.3;100
Brussels sprouts_boiled;20;3;0;92;60;0.06;0.1;40
Brussels sprouts_raw;25;4;0;88;60;0.1;0.15;100
Buns_Currant;300;7;8;29;0;0.2;0.03;0
Butter;750;0.5;82;15.4;1000;0;0;0
Cabbage_savoy_boiled;10;1.3;0;96;50;0.03;0.03;15
Cabbage_savoy_raw;25;3;0;90;50;0.06;0.05;60
Cabbage_white_raw;20;2;0;90;0;0.06;0.05;40
Cabbage_winter_boiled;15;1.7;0;93;50;0.03;0.03;20
Cabbage_winter_raw;20;3;0;88;50;0.06;0.05;60
Cabbage,spring_boiled;7;1;0;97;100;0.03;0.03;25
Cake_fruit;330;4;11;20;120;0.1;0.1;0
Cake_Madeira;400;5;17;20;0;0.05;0.1;0
Cake_rock;400;5;16;15;200;0;0.1;0
Cake_sponge_with fat;460;6.5;27;15;300;0;0.1;0
Cake_sponge_without fat;300;10;7;30;100;0.1;0.25;0
Cakes_various_fancy_iced;400;4;15;13;0;0;0.05;0
Carrots_boiled;20;0.6;0;92;12000;0.05;0.04;4
Carrots_raw;25;0.7;0;90;12000;0.06;0.05;5
Cauliflower cheese;100;6;8;78;100;0.06;0.15;5
Cauliflower_boiled;10;1.5;0;95;5;0.06;0.06;20
Cauliflower_raw;15;2;0;93;5;0.1;0.1;60
Celeriac_boiled;15;1.5;0;90;0;0.04;0.04;4
Celery_boiled;5;0.6;0;96;0;0;0;5
Celery_raw;10;1;0;94;0;0.03;0.03;7
Chapatis_made with fat;340;8;13;29;0;0.25;0.05;0
Chapatis_made without fat;200;7;1;46;0;0.23;0.04;0
Cheese_Camembert_soft type;300;23;23;48;250;0.05;0.6;0
Cheese_cheddar_hard type;400;26;34;37;400;0.04;0.5;0
Cheese_cottage;100;14;0.5;79;30;0;0.2;0
Cheese_cream;440;3;47;45;450;0;0.15;0
Cheese_Danish blue;360;23;29;40;300;0.03;0.6;0
Cheese_Edam;300;24;23;44;300;0.04;0.4;0
Cheese_Parmesan;400;35;30;28;400;0;0.5;0
Cheese_processed;300;22;25;43;250;0;0.3;0
Cheese_Stilton;460;26;40;28;450;0.07;0.3;0
Cherries;40;0.5;0;70;15;0.04;0.06;5
Cherries_glace;200;0;0;44;0;0;0;0
Chestnuts;170;2;2.7;50;0;0.2;0.2;0
Chicken_boiled_boned;180;29;7;63;0;0.06;0.2;0
Chicken_raw (meat and skin);230;18;18;64;0;0.1;0.1;0
Chicken_raw_boned;120;21;4;74;0;0.1;0.2;0
Chicken_roast_(meat and skin);220;23;14;62;0;0.1;0.2;0
Chicken_roast_boned;150;25;5;68;0;0.1;0.2;0
Chicory;10;0.8;0;96;0;0.05;0.05;4
Chocolate_milk;530;8;30;2;0;0.1;0.2;0
Chocolate_plain;530;5;29;1;0;0.1;0.1;0
Christmas pudding;300;5;12;39;20;0.1;0.1;0
Cider_dry;35;0;0;100;0;0;0;0
Cider_sweet;40;0;0;100;0;0;0;0
Cockles_boiled;50;11;0.3;79;0;0;0;0
Cocoa powder;300;19;22;3;0;0.2;0.06;0
Coconut;350;3;36;42;0;0;0;0
Coconut_desiccated;600;6;62;2;0;0.06;0.04;0
Cod fillet_baked;100;21;1.2;77;0;0.1;0.1;0
Cod fillet_fried;185;20.5;9;63;0;0.1;0.1;0
Cod fillet_grilled;100;21;1.3;78;0;0.1;0.1;0
Cod fillet_poached;90;21;1;78;0;0.1;0.1;0
Cod fillet_steamed;80;19;1;79;0;0.1;0.1;0
Cod fillet_raw;80;17;0.7;82;0;0.1;0.1;0
Cornflakes;350;350;8;0.5;3;0;1;1.5
Cornflour;350;0.6;0.7;12;0;0;0;0
Cornish pastie;330;8;20;39;0;0.1;0.1;0
Crab_boiled;130;20;5;73;0;0.1;0.2;0
Crab_canned;80;18;1;79;0;0;0.1;0
Cranberries;15;0.5;0;87;0;0.03;0;10
Cream_double;450;1.5;48;48;400;0;0.1;0
Cream_single;200;2.4;21.2;72;250;0.03;0.1;0
Cream_sterilised;230;2.6;23;70;200;0;0.1;0
Cream_whipping;330;1.9;35;61.5;300;0;0.1;0
